District,Year,Season,Extent,Production,Yield,Prev_Yield,District_encoded,Season_encoded
Ampara,2001,Maha,4.0,17.0,4.25,4.866666666666667,0,0
Ampara,2002,Maha,4.0,19.0,4.75,4.25,0,0
Ampara,2003,Maha,5.0,24.0,4.8,4.75,0,0
Ampara,2005,Maha,1.0,2.0,2.0,4.8,0,0
Ampara,2006,Maha,3.0,6.0,2.0,2.0,0,0
Ampara,2007,Maha,10.0,25.0,2.5,2.0,0,0
Ampara,2008,Maha,11.0,35.0,3.1818181818181817,2.5,0,0
Ampara,2009,Maha,7.0,31.0,4.428571428571429,3.1818181818181817,0,0
Ampara,2010,Maha,10.0,79.0,7.9,4.428571428571429,0,0
Ampara,2011,Maha,7.0,70.0,10.0,7.9,0,0
Ampara,2012,Maha,8.0,70.0,8.75,10.0,0,0
Ampara,2013,Maha,8.0,74.0,9.25,8.75,0,0
Ampara,2014,Maha,8.0,78.0,9.75,9.25,0,0
Ampara,2015,Maha,6.0,139.0,23.166666666666668,9.75,0,0
Ampara,2016,Maha,7.0,144.0,20.571428571428573,23.166666666666668,0,0
Ampara,2017,Maha,45.0,65.0,1.4444444444444444,20.571428571428573,0,0
Ampara,2018,Maha,12.0,35.0,2.9166666666666665,1.4444444444444444,0,0
Ampara,2019,Maha,14.0,72.0,5.142857142857143,2.9166666666666665,0,0
Ampara,2020,Maha,30.0,148.0,4.933333333333334,5.142857142857143,0,0
Ampara,2021,Maha,33.6,169.8,5.053571428571429,4.933333333333334,0,0
Ampara,2022,Maha,46.1,274.0,5.943600867678959,5.053571428571429,0,0
Ampara,2023,Maha,53.1,207.3,3.903954802259887,5.943600867678959,0,0
Ampara,2024,Maha,644.5,568.9,0.882699767261443,3.903954802259887,0,0
Ampara,2025,Maha,28.0,155.3,5.546428571428572,0.882699767261443,0,0
Ampara,2020,Yala,12.2,68.0,5.573770491803279,4.962264150943397,0,1
Ampara,2021,Yala,10.6,52.6,4.962264150943397,5.573770491803279,0,1
Ampara,2022,Yala,22.2,109.4,4.927927927927929,4.962264150943397,0,1
Ampara,2023,Yala,16.9,87.9,5.201183431952663,4.927927927927929,0,1
Ampara,2024,Yala,935.7,813.4,0.8692957144383883,5.201183431952663,0,1
Anuradhapura,2006,Maha,1.0,2.0,2.0,2.0,1,0
Anuradhapura,2007,Maha,3.0,3.0,1.0,2.0,1,0
Anuradhapura,2008,Maha,6.0,5.0,0.8333333333333334,1.0,1,0
Anuradhapura,2009,Maha,3.0,26.0,8.666666666666666,0.8333333333333334,1,0
Anuradhapura,2010,Maha,2.0,4.0,2.0,8.666666666666666,1,0
Anuradhapura,2012,Maha,5.0,8.0,1.6,2.0,1,0
Anuradhapura,2013,Maha,1.0,5.0,5.0,1.6,1,0
Anuradhapura,2014,Maha,2.0,2.0,1.0,5.0,1,0
Anuradhapura,2015,Maha,1.0,2.0,2.0,1.0,1,0
Anuradhapura,2016,Maha,219.0,99.0,0.4520547945205479,2.0,1,0
Anuradhapura,2017,Maha,3.0,31.0,10.333333333333334,0.4520547945205479,1,0
Anuradhapura,2018,Maha,2.0,2.0,1.0,10.333333333333334,1,0
Anuradhapura,2019,Maha,25.0,165.0,6.6,1.0,1,0
Anuradhapura,2020,Maha,39.0,137.0,3.5128205128205128,6.6,1,0
Anuradhapura,2021,Maha,48.8,110.3,2.2602459016393444,3.5128205128205128,1,0
Anuradhapura,2022,Maha,70.6,154.3,2.1855524079320117,2.2602459016393444,1,0
Anuradhapura,2023,Maha,69.3,178.2,2.571428571428571,2.1855524079320117,1,0
Anuradhapura,2024,Maha,479.0,463.8,0.968267223382046,2.571428571428571,1,0
Anuradhapura,2025,Maha,68.6,293.1,4.272594752186589,0.968267223382046,1,0
Anuradhapura,2020,Yala,60.0,147.3,2.455,2.270181219110379,1,1
Anuradhapura,2021,Yala,79.8,173.1,2.169172932330827,2.455,1,1
Anuradhapura,2022,Yala,60.7,137.8,2.270181219110379,2.169172932330827,1,1
Anuradhapura,2023,Yala,44.4,310.8,7.000000000000001,2.270181219110379,1,1
Anuradhapura,2024,Yala,621.2,524.1,0.8436896329684481,7.000000000000001,1,1
Badulla,2001,Maha,2.0,1.0,0.5,6.484536082474227,2,0
Badulla,2002,Maha,5.0,3.0,0.6,0.5,2,0
Badulla,2003,Maha,11.0,5.0,0.45454545454545453,0.6,2,0
Badulla,2004,Maha,5.0,5.0,1.0,0.45454545454545453,2,0
Badulla,2005,Maha,7.0,8.0,1.1428571428571428,1.0,2,0
Badulla,2006,Maha,7.0,9.0,1.2857142857142858,1.1428571428571428,2,0
Badulla,2007,Maha,18.0,21.0,1.1666666666666667,1.2857142857142858,2,0
Badulla,2008,Maha,24.0,29.0,1.2083333333333333,1.1666666666666667,2,0
Badulla,2009,Maha,31.0,202.0,6.516129032258065,1.2083333333333333,2,0
Badulla,2010,Maha,38.0,383.0,10.078947368421053,6.516129032258065,2,0
Badulla,2011,Maha,49.0,500.0,10.204081632653061,10.078947368421053,2,0
Badulla,2012,Maha,48.0,392.0,8.166666666666666,10.204081632653061,2,0
Badulla,2013,Maha,88.0,572.0,6.5,8.166666666666666,2,0
Badulla,2014,Maha,97.0,629.0,6.484536082474227,6.5,2,0
Badulla,2015,Maha,84.0,743.0,8.845238095238095,6.484536082474227,2,0
Badulla,2016,Maha,64.0,450.0,7.03125,8.845238095238095,2,0
Badulla,2017,Maha,74.0,472.0,6.378378378378378,7.03125,2,0
Badulla,2018,Maha,97.0,629.0,6.484536082474227,6.378378378378378,2,0
Badulla,2019,Maha,46.0,549.0,11.934782608695652,6.484536082474227,2,0
Badulla,2020,Maha,104.0,1242.0,11.942307692307692,11.934782608695652,2,0
Badulla,2021,Maha,126.4,122.3,0.9675632911392404,11.942307692307692,2,0
Badulla,2022,Maha,166.8,1822.8,10.928057553956833,0.9675632911392404,2,0
Badulla,2023,Maha,123.3,884.2,7.171127331711274,10.928057553956833,2,0
