District,Year,Extent_Yala,Extent_Maha,Extent_Total,Production_Yala,Production_Maha,Production_Total
Colombo,2001,0,55.0,55.0,0,272.0,272.0
Colombo,2002,0,45.0,45.0,0,224.0,224.0
Colombo,2003,0,73.0,73.0,0,367.0,367.0
Colombo,2004,0,106.0,106.0,0,600.0,600.0
Colombo,2005,0,70.0,70.0,0,551.0,551.0
Colombo,2006,0,79.0,79.0,0,621.0,621.0
Colombo,2007,0,127.0,127.0,0,989.0,989.0
Colombo,2008,0,101.0,101.0,0,402.0,402.0
Colombo,2009,0,107.0,107.0,0,556.0,556.0
Colombo,2010,0.0,84.0,84.0,0.0,978.0,978.0
Colombo,2011,0.0,85.0,85.0,0.0,992.0,992.0
Colombo,2012,0.0,87.0,87.0,0.0,964.0,964.0
Colombo,2013,0.0,90.0,90.0,0.0,1058.0,1058.0
Colombo,2014,0.0,94.0,94.0,0.0,1111.0,1111.0
Colombo,2015,0,135.0,135.0,0,1529.0,1529.0
Colombo,2016,0,113.0,113.0,0,877.0,877.0
Colombo,2017,0.0,78.0,78.0,0.0,497.0,497.0
Colombo,2018,0.0,81.0,81.0,0.0,728.0,728.0
Colombo,2019,0,50.0,50.0,0,349.0,349.0
Colombo,2020,66.5,67.0,133.5,216.3,488.0,704.3
Colombo,2021,68.8,119.7,188.5,339.3,850.6,1189.9
Colombo,2022,65.8,85.6,151.4,326.2,412.3,738.5
Colombo,2023,67.4,112.0,179.4,339.9,582.3,339.9
Colombo,2024,0,0,0,0,0,0
Colombo,2025,0,56.1,0,0,319.2,0
Gampaha,2001,0,199.0,199.0,0,1000.0,1000.0
Gampaha,2002,0,251.0,251.0,0,1230.0,1230.0
Gampaha,2003,0,271.0,271.0,0,1327.0,1327.0
Gampaha,2004,0,171.0,171.0,0,827.0,827.0
Gampaha,2005,0,194.0,194.0,0,1237.0,1237.0
Gampaha,2006,0,223.0,223.0,0,1420.0,1420.0
Gampaha,2007,0,207.0,207.0,0,1727.0,1727.0
Gampaha,2008,0,228.0,228.0,0,1578.0,1578.0
Gampaha,2009,0,223.0,223.0,0,2078.0,2078.0
Gampaha,2010,0.0,230.0,230.0,0.0,1939.0,1939.0
Gampaha,2011,0.0,286.0,286.0,0.0,2293.0,2293.0
Gampaha,2012,0.0,286.0,286.0,0.0,1863.0,1863.0
Gampaha,2013,0.0,300.0,300.0,0.0,1956.0,1956.0
Gampaha,2014,0.0,295.0,295.0,0.0,1910.0,1910.0
Gampaha,2015,0,249.0,249.0,0,2458.0,2458.0
Gampaha,2016,0,221.0,221.0,0,2140.0,2140.0
Gampaha,2017,0.0,151.0,151.0,0.0,954.0,954.0
Gampaha,2018,0.0,295.0,295.0,0.0,1910.0,1910.0
Gampaha,2019,0,125.0,125.0,0,1102.0,1102.0
Gampaha,2020,0.0,272.0,272.0,0.0,1767.0,1767.0
Gampaha,2021,0,286.1,286.1,0,1844.0,1844.0
Gampaha,2022,0,287.2,287.2,0,8371.5,8371.5
Gampaha,2023,0,280.2,280.2,0,4979.1,4979.1
Gampaha,2024,0,0.4,0.4,0,2.4,2.4
Gampaha,2025,0,272.0,0,0,4463.7,0
Kaluthara,2001,0,89.0,89.0,0,433.0,433.0
Kaluthara,2002,0,93.0,93.0,0,467.0,467.0
Kaluthara,2003,0,79.0,79.0,0,396.0,396.0
Kaluthara,2004,0,74.0,74.0,0,589.0,589.0
Kaluthara,2005,0,92.0,92.0,0,684.0,684.0
Kaluthara,2006,0,85.0,85.0,0,630.0,630.0
Kaluthara,2007,0,97.0,97.0,0,542.0,542.0
Kaluthara,2008,0,127.0,127.0,0,556.0,556.0
Kaluthara,2009,0,124.0,124.0,0,703.0,703.0
Kaluthara,2010,0.0,107.0,107.0,0.0,768.0,768.0
Kaluthara,2011,0.0,113.0,113.0,0.0,806.0,806.0
Kaluthara,2012,0.0,132.0,132.0,0.0,856.0,856.0
Kaluthara,2013,0.0,106.0,106.0,0.0,712.0,712.0
Kaluthara,2014,0.0,111.0,111.0,0.0,748.0,748.0
Kaluthara,2015,0,153.0,153.0,0,1041.0,1041.0
Kaluthara,2016,0,135.0,135.0,0,955.0,955.0
Kaluthara,2017,0.0,122.0,122.0,0.0,831.0,831.0
Kaluthara,2018,0.0,142.0,142.0,0.0,1047.0,1047.0
Kaluthara,2019,0,123.0,123.0,0,731.0,731.0
Kaluthara,2020,139.0,130.0,269.0,831.2,790.0,1621.2
Kaluthara,2021,151.1,160.9,312.0,906.3,980.8,1887.1
Kaluthara,2022,149.2,176.8,326.0,895.2,1114.6,2009.8
Kaluthara,2023,151.9,180.6,332.5,911.1,1078.9,911.1
Kaluthara,2024,0,0,0,0,0,0
Kaluthara,2025,0,194.8,0,0,1146.3,0
Kandy,2001,0,218.0,218.0,0,315.0,315.0
Kandy,2002,0,219.0,219.0,0,406.0,406.0
Kandy,2003,0,191.0,191.0,0,362.0,362.0
Kandy,2004,0,171.0,171.0,0,1102.0,1102.0
Kandy,2005,0,258.0,258.0,0,1655.0,1655.0
Kandy,2006,0,214.0,214.0,0,1392.0,1392.0
Kandy,2007,0,281.0,281.0,0,2288.0,2288.0
Kandy,2008,0,345.0,345.0,0,2283.0,2283.0
Kandy,2009,0,379.0,379.0,0,2544.0,2544.0
Kandy,2010,0.0,334.0,334.0,0.0,2591.0,2591.0
Kandy,2011,0.0,431.0,431.0,0.0,3076.0,3076.0
Kandy,2012,0.0,334.0,334.0,0.0,2314.0,2314.0
Kandy,2013,0.0,459.0,459.0,0.0,3150.0,3150.0
Kandy,2014,0.0,437.0,437.0,0.0,3129.0,3129.0
Kandy,2015,0,506.0,506.0,0,3860.0,3860.0
Kandy,2016,0,484.0,484.0,0,3981.0,3981.0
Kandy,2017,0.0,436.0,436.0,0.0,4073.0,4073.0
Kandy,2018,0.0,337.0,337.0,0.0,3589.0,3589.0
Kandy,2019,0,314.0,314.0,0,2713.0,2713.0
Kandy,2020,552.2,435.0,987.2,5745.9,3950.0,9695.9
